"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHEL","EQ","25-Jul-2016","        140.90","        141.00","        148.30","        140.60","        147.80","        147.30","        145.07","    7323490","      10624.24","      44800","    1809191","         24.70"
"BHEL","EQ","26-Jul-2016","        147.30","        148.95","        148.95","        146.15","        147.00","        147.30","        147.35","    6725492","       9909.71","      37341","    2238932","         33.29"
"BHEL","EQ","27-Jul-2016","        147.30","        146.95","        151.25","        146.20","        148.95","        149.00","        149.18","   10411959","      15532.10","      50966","    2502020","         24.03"
"BHEL","EQ","28-Jul-2016","        149.00","        149.95","        151.20","        147.60","        149.30","        149.45","        149.60","    7224516","      10808.11","      36004","    1765909","         24.44"
"BHEL","EQ","29-Jul-2016","        149.45","        148.00","        148.90","        145.00","        145.80","        145.90","        146.18","    7471847","      10922.58","      42775","    3038164","         40.66"
"BHEL","EQ","01-Aug-2016","        145.90","        146.00","        149.00","        141.25","        141.80","        141.85","        145.00","    9346007","      13551.28","      56987","    3887582","         41.60"
"BHEL","EQ","02-Aug-2016","        141.85","        142.40","        144.00","        138.00","        138.80","        138.65","        141.06","    5629554","       7941.29","      33832","    1409300","         25.03"
"BHEL","EQ","03-Aug-2016","        138.65","        138.50","        138.85","        132.50","        133.45","        133.30","        135.57","    6156018","       8345.87","      33093","    1541705","         25.04"
"BHEL","EQ","04-Aug-2016","        133.30","        135.00","        135.75","        132.20","        134.20","        133.90","        133.46","    6300039","       8408.22","      36297","    1633382","         25.93"
"BHEL","EQ","05-Aug-2016","        133.90","        135.05","        138.60","        135.00","        137.40","        137.70","        137.37","    5236385","       7193.25","      26674","     996544","         19.03"
"BHEL","EQ","08-Aug-2016","        137.70","        139.00","        141.85","        136.20","        139.90","        140.15","        139.28","    7585728","      10565.59","      38296","    1559920","         20.56"
"BHEL","EQ","09-Aug-2016","        140.15","        140.15","        142.15","        138.70","        139.50","        139.70","        140.32","    6219128","       8726.58","      31873","    1107105","         17.80"
"BHEL","EQ","10-Aug-2016","        139.70","        140.00","        141.05","        136.00","        136.20","        136.35","        138.11","    5793599","       8001.55","      26526","    1341842","         23.16"
"BHEL","EQ","11-Aug-2016","        136.35","        138.10","        139.00","        134.20","        137.20","        136.40","        136.62","    6098577","       8331.76","      31183","    1198452","         19.65"
"BHEL","EQ","12-Aug-2016","        136.40","        137.90","        139.60","        137.35","        138.20","        138.50","        138.34","    4733480","       6548.53","      23607","     941363","         19.89"
"BHEL","EQ","16-Aug-2016","        138.50","        139.00","        139.00","        135.50","        137.00","        137.10","        136.77","    4901465","       6703.82","      27183","    1228894","         25.07"
"BHEL","EQ","17-Aug-2016","        137.10","        137.00","        138.70","        136.50","        137.55","        137.60","        137.54","    3085282","       4243.60","      19158","     452755","         14.67"
"BHEL","EQ","18-Aug-2016","        137.60","        138.65","        141.20","        138.00","        140.50","        140.35","        139.91","    3891795","       5445.15","      25116","    1079009","         27.73"
"BHEL","EQ","19-Aug-2016","        140.35","        140.95","        142.80","        140.15","        142.20","        142.00","        141.70","    3788584","       5368.37","      20715","     836575","         22.08"
"BHEL","EQ","22-Aug-2016","        142.00","        141.90","        146.40","        141.10","        143.55","        143.90","        144.51","    8409728","      12152.98","      49663","    2338876","         27.81"
"BHEL","EQ","23-Aug-2016","        143.90","        143.45","        143.45","        135.90","        137.10","        136.90","        138.24","    9763843","      13497.33","      50478","    2935883","         30.07"
"BHEL","EQ","24-Aug-2016","        136.90","        136.45","        138.10","        135.35","        136.95","        136.80","        136.73","    5087982","       6956.95","      26659","    1058000","         20.79"
"BHEL","EQ","25-Aug-2016","        136.80","        136.50","        142.00","        136.30","        141.20","        140.90","        139.59","   13325383","      18601.50","      50122","    5344404","         40.11"
"BHEL","EQ","26-Aug-2016","        140.90","        140.00","        142.20","        138.00","        139.00","        139.45","        140.11","    4432756","       6210.74","      29002","     712572","         16.08"
"BHEL","EQ","29-Aug-2016","        139.45","        139.25","        141.50","        137.65","        140.60","        140.95","        139.66","    3901041","       5448.05","      22837","     836749","         21.45"
